task_id,round,acc1,acc5,loss,p_micro,r_micro,f1_micro,p_macro,r_macro,f1_macro,p_weighted,r_weighted,f1_weighted,fpr
2,14,43.71810398644192,50.81825647190504,2.740531932179711,0.43718103989067375,0.43718103989067375,0.43718103989067375,0.20841222785190017,0.09249465753225311,0.06363863966637746,0.25336684628756306,0.43718103989067375,0.2712526161814989,0.08157687953235124
2,15,43.717395495460906,50.798702120829134,2.802958773189804,0.43717395498086364,0.43717395498086364,0.43717395498086364,0.20804172429260626,0.0908352090478996,0.061069144624956294,0.25339199404437707,0.43717395498086364,0.27124774068329366,0.08157535157466475
2,16,43.71905538861642,50.798216298442156,2.861507886719476,0.4371905539124188,0.4371905539124188,0.4371905539124188,0.2030386830223181,0.09464207998568976,0.06567844539621027,0.25335683196480147,0.4371905539124188,0.27127428494838335,0.08157178913328393
2,17,43.717334767662535,50.80007861759224,2.905413049080209,0.4371733477028799,0.4371733477028799,0.4371733477028799,0.20139985080589964,0.09062680418689917,0.06061112706944699,0.25335353958116025,0.4371733477028799,0.2712558675928855,0.08157199972954716
2,18,43.71654530628369,50.801556327352635,2.9489902921533635,0.43716545308909155,0.43716545308909155,0.43716545308909155,0.19609469402316826,0.08879347681280853,0.05763824474773607,0.253338014941158,0.43716545308909155,0.27125011707558166,0.08157021324047917
2,19,43.71597851349888,50.808944876154605,2.979868740505935,0.43715978516124343,0.43715978516124343,0.43715978516124343,0.17486851793853708,0.08741125438970203,0.055097983689877374,0.25320660363308356,0.43715978516124343,0.2712454606325522,0.08156856870031089
2,20,43.71597851349888,50.81214320686889,3.0079019157010127,0.43715978516124343,0.43715978516124343,0.43715978516124343,0.17486954002868207,0.08741125438970203,0.05509883632302759,0.2532126989383895,0.43715978516124343,0.27125125886741375,0.08156661907159989
2,21,43.71597851349888,50.80032152878573,2.967068318334474,0.43715978516124343,0.43715978516124343,0.43715978516124343,0.1526789895735606,0.08740169815246211,0.05502515424960517,0.25300880661902114,0.43715978516124343,0.2712561284517981,0.08156474836334317
2,22,43.71597851349888,50.79722441106874,2.977358845264824,0.43715978516124343,0.43715978516124343,0.43715978516124343,0.1530097752510402,0.08740169815246211,0.055025758457962336,0.25301083022919535,0.43715978516124343,0.2712550848622222,0.08156510166249605
2,23,43.71597851349888,50.799592795205264,2.7440598878000118,0.43715978516124343,0.43715978516124343,0.43715978516124343,0.1530101319179479,0.08740169815246211,0.055026055900337,0.25301295764045295,0.43715978516124343,0.27125710853072704,0.08156442125516067
2,24,43.71458177413632,83.6165913965684,2.535854544196848,0.4371458177676178,0.4371458177676178,0.4371458177676178,0.11517804421575724,0.086139779340347,0.05257591827588887,0.2526300753692721,0.4371458177676178,0.27122228841456947,0.08156833305185844
2,25,43.71597851349888,83.63782588339926,2.4148638334996475,0.43715978516124343,0.43715978516124343,0.43715978516124343,0.15262897583123242,0.08741125438970203,0.055062775904508886,0.25300077288032113,0.43715978516124343,0.27124928582869035,0.08156716903255759
2,26,43.71458177413632,83.6383319483857,2.3941462440685695,0.4371458177676178,0.4371458177676178,0.4371458177676178,0.11509270635948439,0.086139779340347,0.05257587732152589,0.2526292687907776,0.4371458177676178,0.2712222880404145,0.08156833304112969
2,27,43.71468298713361,83.6493236798911,2.4021558554262916,0.4371468298975907,0.4371468298975907,0.4371468298975907,0.12097746571926389,0.08624686406578176,0.05278916218295234,0.25268374417568346,0.4371468298975907,0.27122428040542435,0.08156824868554159
2,28,43.71597851349888,83.66015347060085,2.4090530120908484,0.43715978516124343,0.43715978516124343,0.43715978516124343,0.15106772952581735,0.08741125438970203,0.05505894085545159,0.25298601652411207,0.43715978516124343,0.27124924964571734,0.08156716897891383
2,29,43.714541288937404,83.63760321480524,2.427252642846017,0.43714541291562864,0.43714541291562864,0.43714541291562864,0.11207843196496721,0.08609694545017309,0.05248906748423674,0.2526015947094299,0.43714541291562864,0.27122148628599446,0.08156836664332406
2,30,43.71597851349888,83.65644907490012,2.4318475850121604,0.43715978516124343,0.43715978516124343,0.43715978516124343,0.15076840096270003,0.08741125438970203,0.055058174988488195,0.2529831873751025,0.43715978516124343,0.2712492424199252,0.08156716896818508
3,1,29.021945070268284,55.71760829679354,2.813591912955637,0.2902194507065401,0.2902194507065401,0.2902194507065401,0.13822953371680247,0.07217332979556491,0.029183160547487652,0.12850241643221932,0.2902194507065401,0.13499446148988462,0.054744567378766214
3,2,29.021945070268284,55.71764874331778,2.813973966122707,0.2902194507065401,0.2902194507065401,0.2902194507065401,0.13822954452322367,0.07217332979556491,0.02918316398752099,0.1285025395947572,0.2902194507065401,0.1349946063702408,0.054744536671072125
3,3,29.02156756937542,55.71768918984203,2.8149557335148057,0.29021567569761153,0.29021567569761153,0.29021567569761153,0.13438296896264135,0.07210745600752415,0.029038372332349714,0.12842450123555113,0.29021567569761153,0.13498608916010346,0.05474489389762802
3,4,29.020003637105013,55.717743118540994,2.7601897375569804,0.2902000363749075,0.2902000363749075,0.2902000363749075,0.0760394194641311,0.07182809514326029,0.028452210216056803,0.12531990419264846,0.2902000363749075,0.13495192995924654,0.05474630344877991
3,5,29.020017119279764,70.26277162695473,2.713619356847713,0.2902001711966549,0.2902001711966549,0.2902001711966549,0.07613850051404808,0.07182038259431806,0.02845217604055967,0.1253987084616147,0.2902001711966549,0.1349516474399594,0.05474642185312683
